"Company","booking_date","amount","balance","tags"
"1","16/9/2019 00:00:00+00","6300","1372781","[revenue]"
"1","16/9/2019 00:00:00+00","40","1372821","[revenue, sales]"
"1","16/9/2019 00:00:00+00","2650","1375471","[revenue, sales]"
"1","16/9/2019 00:00:00+00","2350","1377821","[revenue]"
"1","16/9/2019 00:00:00+00","2350.22","1380171.22","[revenue, sales]"
"1","16/9/2019 00:00:00+00","2420","1382591.22","[revenue]"
"1","16/9/2019 00:00:00+00","27763.87","1410355.09","[revenue, chargeback, sales]"
"1","16/9/2019 00:00:00+00","-4","1410351.09","[expenditure]"
"1","16/9/2019 00:00:00+00","-1190.48","1409160.61","[expenditure, administration, material-supply]"
"1","16/9/2019 00:00:00+00","-23182.96","1385977.65","[expenditure, credit-card, credit, material-supply]"
"1","17/9/2019 00:00:00+00","-2802.25","1383175.4","[expenditure, rent]"
"1","17/9/2019 00:00:00+00","-476","1382699.4","[expenditure, material-supply]"
"1","17/9/2019 00:00:00+00","-140.46","1382558.94","[expenditure, material-supply]"
"1","17/9/2019 00:00:00+00","-66.81","1382492.13","[expenditure, material-supply]"
"1","17/9/2019 00:00:00+00","-22.98","1382469.15","[expenditure, material-supply]"
"1","17/9/2019 00:00:00+00","-200","1382269.15","[expenditure, salary, material-supply]"
"1","17/9/2019 00:00:00+00","-110.43","1382158.72","[expenditure, material-supply]"
"1","17/9/2019 00:00:00+00","-559.3","1381599.42","[expenditure, material-supply]"
"1","17/9/2019 00:00:00+00","-115.43","1381483.99","[expenditure, material-supply]"
"1","17/9/2019 00:00:00+00","-40.8","1381443.19","[expenditure]"
"1","17/9/2019 00:00:00+00","-252.9","1381190.29","[expenditure, material-supply]"
"1","17/9/2019 00:00:00+00","-428.2","1380762.09","[expenditure, material-supply]"
"1","17/9/2019 00:00:00+00","-5440.77","1375321.32","[expenditure, material-supply]"
"1","17/9/2019 00:00:00+00","-535.64","1374785.68","[expenditure, material-supply]"
"1","17/9/2019 00:00:00+00","-2800","1371985.68","[expenditure, material-supply]"
"1","17/9/2019 00:00:00+00","-694.6","1371291.08","[expenditure, material-supply]"
"1","17/9/2019 00:00:00+00","-2584.05","1368707.03","[expenditure, material-supply]"
"1","17/9/2019 00:00:00+00","-30","1368677.03","[expenditure, material-supply]"
"1","17/9/2019 00:00:00+00","-264.99","1368412.04","[expenditure, material-supply]"
"1","17/9/2019 00:00:00+00","-1405.05","1367006.99","[expenditure, material-supply]"
"1","17/9/2019 00:00:00+00","-1602.62","1365404.37","[expenditure, material-supply]"
"1","17/9/2019 00:00:00+00","-1382.45","2222318.98","[expenditure, material-supply]"
"1","17/9/2019 00:00:00+00","-3900","2218418.98","[expenditure, material-supply]"
"1","17/9/2019 00:00:00+00","-2844.51","2215574.47","[expenditure, material-supply]"
"1","17/9/2019 00:00:00+00","-40.8","2215533.67","[expenditure]"
"1","17/9/2019 00:00:00+00","-847.3","2214686.37","[expenditure, material-supply]"
"1","17/9/2019 00:00:00+00","-6580","1358824.37","[expenditure, material-supply]"
"1","17/9/2019 00:00:00+00","-1529","1357295.37","[expenditure, material-supply]"
"1","17/9/2019 00:00:00+00","-2168.71","1355126.66","[expenditure, material-supply]"
"1","17/9/2019 00:00:00+00","-11790","1343336.66","[expenditure, material-supply]"
"1","17/9/2019 00:00:00+00","-40","2214646.37","[expenditure, material-supply]"
"1","17/9/2019 00:00:00+00","-2571.4","2212074.97","[expenditure, material-supply]"
"1","17/9/2019 00:00:00+00","-4174.9","2207900.07","[expenditure, material-supply]"
"1","17/9/2019 00:00:00+00","-0.05","2207900.02","[expenditure, material-supply]"
"1","17/9/2019 00:00:00+00","-5150","2202750.02","[expenditure, material-supply]"
"1","17/9/2019 00:00:00+00","-582.35","2202167.67","[expenditure, material-supply]"
"1","17/9/2019 00:00:00+00","-0.15","2202167.52","[expenditure, material-supply]"
"1","17/9/2019 00:00:00+00","-1161.69","2201005.83","[expenditure, material-supply]"
"1","17/9/2019 00:00:00+00","-2069","1341267.66","[expenditure, material-supply]"
"1","17/9/2019 00:00:00+00","-4815.95","1336451.71","[expenditure, material-supply]"
"1","17/9/2019 00:00:00+00","-7652","1328799.71","[expenditure, material-supply]"
"1","17/9/2019 00:00:00+00","-0.09","1328799.62","[expenditure, material-supply]"
"1","17/9/2019 00:00:00+00","50000","1378799.62","[revenue, sales]"
"1","17/9/2019 00:00:00+00","5990","1384789.62","[revenue, sales]"
